link,rank,title,country,description,ep,genres,keywords,aired,network,duration,content_rating,score,num_scored_by,num_watcher,actors,screenwriter,director
https://mydramalist.com/52321-living-with-a-ghost,2447,Living With a Ghost,South Korea,"&quot;Living With a Ghost&quot;: A young man and a woman who have become ghosts due to their mistakes from their previous lives go out on an interesting mission for a chance to be reincarnated after paying the price.

(Source: HanCinema)",16,"['Horror', 'Comedy', 'Romance', 'Supernatural']","['Broadcaster', 'Web Series', 'Ghost', 'Suspense']",2020-02-06,Naver TV Cast,,15+ - Teens 15 or older,6.7,7,670,"['Kriesha Chu', 'Kang Se Hyung', 'Jeon Won Joo', 'Yoo Bin', 'Hong Eun Ki', 'No Chae Hoon']",Lee Min Ji ,Kim Dong Sun 
https://mydramalist.com/15913-witchs-castle,2448,Witch's Castle,South Korea,"Oh Dan-Byul lost her parents due to her own mistake. She marries Joon-Young, but her husband passes away. Meanwhile, her mother-in-law, Ho-Duk, divorces because of her husband's infidelity and her sister-in-law, Se-Sil, returns to South Korea after divorcing her Italian husband. Now, these three women live together while overcoming their own personal problems and becoming important to each other.",122,"['Romance', 'Drama', 'Family', 'Melodrama']",N/A,2015-12-14,SBS,40 min.,Not Yet Rated,6.7,82,584,"['Choi Jung Won', 'Seo Ji Suk', 'Yoo Ji In', 'Danny Ahn', 'Choi Il Hwa', 'Lee Seul Bi']",Park Ye Kyung ,Jung Hyo 
https://mydramalist.com/692035-recipe-for-youth,2449,Recipe for Youth,South Korea,"Jeon Seong Ki works as a dating coach who is a professional at creating scandals. Cha Soo Bin is an entertainment reporter who disguises herself as a rookie actress. She pretends to need help on her road to stardom but is actually looking for juicy scoops. However, the process leads to Jeon Seong Ki finding true love.

(Source: Soompi)",10,"['Comedy', 'Romance']","['Actress Female Lead', 'Reporter Female Lead', 'Short Length Series', 'Dating coach', 'Famous Female Lead', 'Scandal', 'Player male lead', 'Jealousy', 'Miniseries', 'High School']",2021-03-14,N/A,10 min.,15+ - Teens 15 or older,6.7,137,"1,698","['Moon Ga Young', 'Kim Hee Chul', 'Han Jung Woo', 'Park Seon Im', 'Jung Kyung Ho', 'Jin Sun Mi']",,
https://mydramalist.com/2158-cooking-up-romance,2450,Cooking up Romance,South Korea,"This daily drama revolves around a family-run restaurant selling Korean traditional beef soup. The restaurant is famous and popular for its delicious dishes. The secret of the success lies in owner Kang's sticking to the traditional way of cooking the beef soup. But Kang feels depressed when his only daughter says she won't take over the restaurant. Kang Yoo Seon, the daughter of owner Kang, is an undergraduate student majoring French literature",95,['Food'],N/A,2008-06-02,KBS2,40 min.,Not Yet Rated,6.7,13,132,"['Jung Min', 'Oh Yeon Seo', 'Kang Kyung Joon', 'Kim Sung Eun', 'Noh Hyung Wook', 'Na Young Hee']",Kim Woon Kyung ,Lee Duk Gun 
https://mydramalist.com/6718-a-tale-of-two-sisters-2013,2451,A Tale of Two Sisters,South Korea,"Choi Seyoung is the adopted daughter of Choi Jin Sa  and dreams of becoming an announcer like her idol Kim Ju Hui. Her oldest sister, Choi Il Young, is a writer at a broadcasting company and has been trying to get her a job in her company.  Kim Ju Hui lost her child years back and adopted Lee Ye Rin from an orphanage. Lee Ye Rin adores and is very possessive of",135,"['Romance', 'Drama', 'Family']","[""Sisters' Relationship"", 'partner switch', 'Secondary Couple', 'Soap Opera', 'Birth Secret', 'Love Square', 'Rags To Riches', 'Adopted Child', 'Rich Male Lead', 'Unrequited Love']",2013-04-29,KBS1,35 min.,Not Yet Rated,6.7,207,733,"['Yoo Geon', 'Park Jae Jung', 'Lee Hae In', 'Park Se Young', 'Hong Jin Hee ', 'Yoon Chae Yi']",,Kim Myung Wook 
https://mydramalist.com/23930-a-special-meal-of-the-weirdo-nara,2452,A Special Meal of the Weirdo 'Nara',South Korea,"When  you feel low, you must go to the meat and cook it all ... You can eat it ... when you want to! Then you can eat it with",4,"['Food', 'Historical', 'Drama']","['Short Length Series', 'Bad/Wrong Tag', 'Miniseries', 'Web Series', 'Time Travel']",2017-05-26,Naver TV Cast,5 min.,13+ - Teens 13 or older,6.7,110,363,"['Sol Bin', 'Seo Ji Hoon', 'Kim Yoon Tae', 'Lee Jun Young', 'Song Young Kyu']",,
https://mydramalist.com/704693-on-the-turf,2453,On the Turf,South Korea,"Lee Xi Jun gets captured by an illegal loan shark to pay back debts that aren't his. He is imprisoned together with another kidnapped guy called Ju Wan and their captor abuses them. He tries to find a way out.

(Source: RandomUsagi at MyDramaList)

~~ Adapted from the novel &quot;No Money&quot; (お金がないっ) by writer Shinozaki Hitoyo (篠崎一夜) and illustrator Kosaka Toru (香坂透).",6,['Romance'],"['Loan Shark Supporting Character', 'Gay Male Lead', 'Short Length Series', 'Gay Romance', 'Physical Abuse', 'Emotional Abuse', 'stockholm syndrome', 'Sexual Abuse', 'LGBTQ+', 'Miniseries']",2021-06-16,N/A,15 min.,Not Yet Rated,6.7,19,132,N/A,,
https://mydramalist.com/4741-rival,2454,Rival,South Korea,"So Yoo Jin is a poor girl that aspires to be a golf star. When her brother, Park Chul, runs away after leaving behind a large debt, Kim Jae Won comes to collect the money. So Yoo Jin promises to pay the money once she becomes a golf star, and so Kim Jae Won always looks over her like a ‘soo ho chun sa’. ",20,['Romance'],['Sports'],2002-08-03,SBS,,Not Yet Rated,6.7,17,100,"['So Yoo Jin', 'Kim Jae Won', 'Kim Min Jung', 'Kim  Joo Hyuk', 'Park Kyung Rim', 'Park Chul']",,Lee Chang Han 
https://mydramalist.com/26367-listen-to-her-heart,2455,Listen To Her Heart,South Korea,The main content is a time-slip web-based drama in which the Emergency Rescue Department student relief type drinks mysterious beverages and returns to five years ago and tries to save his first love with the help of Mannequin Annie. It basically aims at forecasting the accidents and disasters that can be experienced in youth training facilities and outdoor activities and amusing ways to cope with them.,5,"['Romance', 'Drama']","['Short Length Series', 'Miniseries', 'Web Series', 'Time Travel']",2017-11-20,Naver TV Cast,,Not Yet Rated,6.7,39,215,"['Ji Eun Sung', 'Jo Hyun Young', 'Oh Jung Taek']",,
https://mydramalist.com/4089-catch-a-kang-nam-mother,2456,Catch a Kang Nam Mother,South Korea,"Hyun Min Joo is a single mom who moved to Seoul's Kang Nam district for the sake of her son's education. Seo Sung Won is Min Joo's son's teacher and her tenant, who has looks and brains as well to make him a good catch in the eyes of many women. Han Soo Jin comes from a rich family background, and became a teacher with the purest intentions of wanting to provide",18,"['Romance', 'Family']",N/A,2007-06-25,SBS,1 hr. 5 min.,Not Yet Rated,6.7,11,137,"['Yoo  Joon Sang', 'Ha Hee Ra', 'Maeng  Se Chang', 'Lee Tae Ri', 'Jung Eun Pyo', 'Nam Yoon Jung']",,Hong Chang Wook 
